Dataset ID,Question,Category,Sub-Category,Difficulty,Source,Company
#HMN68,"Given a sequence of words, print all anagrams together",Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN69,Number of subarrays having a sum exactly equal to k,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN70,Count pairs with a given sum,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN71,Check if two strings are k-anagrams or not,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN72,Second most repeated word in a sequence,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN73,Heap Sort,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN74,Largest subarray with an equal number of 0s and 1s,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN75,Find a triplet in an array whose sum is closest to a given number,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN76,Convert a Binary Tree to a Circular Doubly Link List,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN77,Lowest Common Ancestor in a Binary Tree,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN78,A program to check if a binary tree is BST or not,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN79,Print level order traversal line by line,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN80,The maximum difference between a node and its ancestor in Binary Tree,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN81,Symmetric Tree,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN82,Inorder to Successor in Binary Search Tree,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN83,Print BST elements in a given range,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN84,Level Order Binary Tree Traversal,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN85,Convert a Binary Tree to a Circular Doubly Link List,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN86,Convert a given Binary Tree to a Doubly Linked List,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN87,Burn the binary tree starting from the target node,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN88,AVL Tree,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN89,Distribute candies in a Binary Tree,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN90,Print a Binary Tree in Vertical Order,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN91,Strongly Connected Components (Kosaraju’s Algo),Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN92,Prerequisite Tasks,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN93,Distance from the Source (Bellman-Ford Algorithm),Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN94,Word Boggle – II,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN95,Check whether a given graph is Bipartite or not,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN96,Find the number of islands,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN97,Topological sort,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN98,Boggle (Find all possible words in a board of characters),Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN99,Program to cyclically rotate an array by one,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN100,Flood fill Algorithm – how to implement fill() in paint?,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN101,The shortest path to reach one prime to another by changing a single digit at a time,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN102,Count All Palindrome Sub-Strings in a String,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN103,Count ways to reach the n’th stair,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN104,Burst Balloon to maximize coins,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN105,Maximum size rectangle binary sub-matrix with all 1s,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN106,Maximum Sum Increasing Subsequence,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN107,Count the number of ways to cover a distance,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN108,Word Break Problem,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN109,Knapsack with Duplicate Items,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN110,Coin Change,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN111,Subset Sum Problem,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN112,Longest Increasing Subsequence,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN113,Find if a string is interleaved with two other strings,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN114,Minimum number of jumps to reach the end,Technical,DSA,N/A,GeeksforGeeks,Netflix
#HMN115,Count Possible Decodings of a given Digit Sequence,Technical,DSA,N/A,GeeksforGeeks,Netflix
